0,1,2,3,4,5,6,7,8,9
f,تُصْدَرِيtuṣdarī,تُصْدَرْtuṣdar,تُصْدَرَاtuṣdarā,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
verbal nounsالْمَصَادِر,صَدْرṣadr,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَصْدُورmaṣdūr,,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,صُدِرْتُṣudirtu,صُدِرْتَṣudirta,صُدِرَṣudira,صُدِرْتُمَاṣudirtumā,صُدِرَاṣudirā,صُدِرْنَاṣudirnā,صُدِرْتُمْṣudirtum,صُدِرُواṣudirū
f,صُدِرْتِṣudirti,صُدِرَتْṣudirat,صُدِرَتَاṣudiratā,صُدِرْتُنَّṣudirtunna,صُدِرْنَṣudirna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُصْدَرُʾuṣdaru,تُصْدَرُtuṣdaru,يُصْدَرُyuṣdaru,تُصْدَرَانِtuṣdarāni,يُصْدَرَانِyuṣdarāni,نُصْدَرُnuṣdaru,تُصْدَرُونَtuṣdarūna,يُصْدَرُونَyuṣdarūna
f,تُصْدَرِينَtuṣdarīna,تُصْدَرُtuṣdaru,تُصْدَرَانِtuṣdarāni,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُصْدَرَʾuṣdara,تُصْدَرَtuṣdara,يُصْدَرَyuṣdara,تُصْدَرَاtuṣdarā,يُصْدَرَاyuṣdarā,نُصْدَرَnuṣdara,تُصْدَرُوtuṣdarū,يُصْدَرُوyuṣdarū
f,تُصْدَرِيtuṣdarī,تُصْدَرَtuṣdara,تُصْدَرَاtuṣdarā,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُصْدَرْʾuṣdar,تُصْدَرْtuṣdar,يُصْدَرْyuṣdar,تُصْدَرَاtuṣdarā,يُصْدَرَاyuṣdarā,نُصْدَرْnuṣdar,تُصْدَرُوtuṣdarū,يُصْدَرُوyuṣdarū
f,تُصْدَرِيtuṣdarī,تُصْدَرْtuṣdar,تُصْدَرَاtuṣdarā,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
verbal nounالْمَصْدَر,تَصْدِيرtaṣdīr,,,,,,,,
active participleاِسْم الْفَاعِل,مُصَدِّرmuṣaddir,,,,,,,,
passive participleاِسْم الْامَفْعُول,مُصَدَّرmuṣaddar,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
